"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"49","In the meantime, I want to hear what you're thinking about the road ahead. So share your ideas with me here: https://t.co/GYkEOK8EuT",FALSE,239834,"BarackObama",2017-01-20 21:05:04,FALSE,"822550300942856193","822550536469803009","813286","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",54188,FALSE,FALSE,NA,NA
"50","Hi everybody! Back to the original handle. Is this thing still on? Michelle and I are off on a quick vacation, then we’ll get back to work.",FALSE,1871254,NA,2017-01-20 21:04:08,FALSE,NA,"822550300942856193",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",437555,FALSE,FALSE,NA,NA
"51","Tonight, President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: https://t.co/ZnwTsg155B #ObamaFarewell",FALSE,76375,NA,2017-01-10 23:44:14,FALSE,NA,"818966711995088896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",13995,FALSE,FALSE,NA,NA
"52","In the weekly address, President Obama discusses what #Obamacare has done to improve health care. https://t.co/VdQlyrSZhx",FALSE,29161,NA,2016-11-05 15:38:53,FALSE,NA,"794926969829920768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",4651,FALSE,FALSE,NA,NA
"53","Let's keep working to keep our economy on a better, stronger course. https://t.co/bV2BVjyj7a",FALSE,46365,NA,2016-11-04 22:16:14,FALSE,NA,"794664579834015745",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",9561,FALSE,FALSE,NA,NA
"54","The landmark #ParisAgreement enters into force today—we must keep up the momentum to #ActOnClimate. https://t.co/Cyw5Udaoro",FALSE,25360,NA,2016-11-04 18:25:16,FALSE,NA,"794606453197774849",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",6215,FALSE,FALSE,NA,NA
"55","The economy added 161,000 jobs in October, and wages are up 2.8 percent over the past year. https://t.co/pJxjgLnjCt #JobsReport",FALSE,17501,NA,2016-11-04 16:12:12,FALSE,NA,"794572967258640384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",4006,FALSE,FALSE,NA,NA
"56","There are a lot of plans out there. Check your options and lock in the one that's best for you: https://t.co/buFY9ozDz4 #GetCovered",FALSE,8906,NA,2016-11-03 21:02:36,FALSE,NA,"794283659079520256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",1580,FALSE,FALSE,NA,NA
"57","The positive impact of #Obamacare is undeniable, but there's one big factor holding many states back: https://t.co/7XebIdRX34",FALSE,11222,NA,2016-11-03 19:08:49,FALSE,NA,"794255026570993664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",1946,FALSE,FALSE,NA,NA
"58","Tens of millions of Americans have benefited from #Obamacare. Make sure you're one of them. #GetCovered https://t.co/e1KoXcPtpU",FALSE,11565,NA,2016-11-02 18:22:43,FALSE,NA,"793881038862757888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",2230,FALSE,FALSE,NA,NA
"59","Thanks to #Obamacare, quality health care is available to everyone. The marketplace is now open—make sure you and y… https://t.co/89gl6pzMGD",FALSE,14547,NA,2016-11-02 15:13:34,TRUE,NA,"793833434850349056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",3283,FALSE,FALSE,NA,NA
"60","Community organizing never goes out of style. Shop now: https://t.co/LXEbQdKLLT https://t.co/E56ofoU36i",FALSE,6082,NA,2016-11-01 20:17:35,FALSE,NA,"793547555204280320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",987,FALSE,FALSE,NA,NA
"61","With #Obamacare, people can focus on treatment for pre-existing conditions without the fear of coverage being cappe… https://t.co/jvdFY87XBu",FALSE,10308,NA,2016-11-01 17:55:30,TRUE,NA,"793511799643451392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",2335,FALSE,FALSE,NA,NA
"62","The Obamacare marketplace is now open. If you're uninsured, now is the time to shop for a plan and #GetCovered.… https://t.co/Spjlga4eTT",FALSE,5424,NA,2016-11-01 15:54:09,TRUE,NA,"793481260370792449",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",1104,FALSE,FALSE,NA,NA
"63","Lions and Tiggers and bears! Oh my! #HappyHalloween https://t.co/iU4fjBhi0Y",FALSE,33105,NA,2016-10-31 22:09:10,FALSE,NA,"793213251077103617",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",6924,FALSE,FALSE,NA,NA
"64","Usted y su familia merecen la tranquilidad de saber que están cubiertos. El mercado de seguros abre mañana. https://t.co/9iRCkLRGZD",FALSE,5153,NA,2016-10-31 20:12:07,FALSE,NA,"793183793993519104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",1027,FALSE,FALSE,NA,NA
"65","Speak up in support of quality, affordable health care for all. https://t.co/rGsSguMxvj",FALSE,4898,NA,2016-10-31 18:08:56,FALSE,NA,"793152790881112064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",986,FALSE,FALSE,NA,NA
"66","There's nothing to be scared of when searching for health insurance. Three in four people can #GetCovered for less… https://t.co/BUmnRO9B3E",FALSE,7382,NA,2016-10-31 17:00:21,TRUE,NA,"793135531471233024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",1791,FALSE,FALSE,NA,NA
"67","Open enrollment begins tomorrow—make sure you and your loved ones #GetCovered. https://t.co/2aak7Bt0s3",FALSE,4691,NA,2016-10-31 15:33:29,FALSE,NA,"793113673527009280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",1048,FALSE,FALSE,NA,NA
"68","Senate leaders' obstruction of our Supreme Court nomination process is unacceptable. Say so: https://t.co/t3pYMO8Fp0 #DoYourJob",FALSE,5409,NA,2016-10-28 16:50:43,FALSE,NA,"792045944384749569",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",1395,FALSE,FALSE,NA,NA
"69","Senate leaders should put the common good above politics—the integrity of our nation's highest court depends on it.… https://t.co/iRVCEl1pzf",FALSE,12978,NA,2016-10-28 15:07:46,TRUE,NA,"792020035430735872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",3742,FALSE,FALSE,NA,NA
"70","Don't ghost on your health and well-being—your chance to #GetCovered is coming up. Open enrollment starts November… https://t.co/qwNLazuPiz",FALSE,6048,NA,2016-10-27 22:17:29,TRUE,NA,"791765789795684353",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",1286,FALSE,FALSE,NA,NA
"71","Climate change is happening now. Denial is dangerous. https://t.co/0Nlf8Fst4u",FALSE,10477,NA,2016-10-27 21:31:51,FALSE,NA,"791754307347492864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",4414,FALSE,FALSE,NA,NA
"72","If you're willing to work hard and play by the rules, you should be able to get ahead. https://t.co/394hdJttgO",FALSE,8341,NA,2016-10-27 20:24:15,FALSE,NA,"791737295254675457",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",2050,FALSE,FALSE,NA,NA
"73","President Obama lays out just a few of the ways in which #Obamacare has helped millions of Americans. https://t.co/qeqHRLz0ID",FALSE,7476,NA,2016-10-27 18:55:15,FALSE,NA,"791714897348268032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",1855,FALSE,FALSE,NA,NA
"74","New report: Renewable energy installations are beating fossil fuel installations for the first time. https://t.co/MMhIdu4jzt #ActOnClimate",FALSE,4826,NA,2016-10-27 17:04:36,FALSE,NA,"791687049417928704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",1613,FALSE,FALSE,NA,NA
"75","Obamacare has helped millions of Americans gain the peace of mind that comes with coverage. Show your support: https://t.co/NfrG7DHL5C",FALSE,4803,NA,2016-10-27 15:27:13,FALSE,NA,"791662543584362496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",1063,FALSE,FALSE,NA,NA
"76","This is what happens when we focus on building an economy that works for everyone, not just those at the top. https://t.co/op3Z74rPeI",FALSE,6965,NA,2016-10-26 19:32:32,FALSE,NA,"791361893986291712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",2170,FALSE,FALSE,NA,NA
"77","No one's too wrapped up in pre-existing conditions to #GetCovered. 
Thanks to Obamacare, you can find a plan that m… https://t.co/C7H9TZdxeU",FALSE,7251,NA,2016-10-26 17:33:39,TRUE,NA,"791331973314727936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",1537,FALSE,FALSE,NA,NA
"78","Help protect the progress we've made in helping millions of Americans get covered. Add your name now: https://t.co/HQSZKPl1eH",FALSE,3706,NA,2016-10-26 16:26:29,FALSE,NA,"791315070588379136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",810,FALSE,FALSE,NA,NA
"79","DYK: Most people can find a plan for less than $75 per month. Open enrollment starts on November 1. #GetCovered https://t.co/9RGG5Pr4mb",FALSE,3905,NA,2016-10-26 15:01:14,FALSE,NA,"791293617163804673",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",1034,FALSE,FALSE,NA,NA
"80","Women, the sick, survivors—they all deserve fair treatment in our health care system. #Obamacare https://t.co/G948HN7pzV",FALSE,9499,NA,2016-10-25 19:55:05,FALSE,NA,"791005180145786880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",2302,FALSE,FALSE,NA,NA
"81","Don't get tripped up by misinformation. Join the @OFA Truth Team today: https://t.co/wJZj1QCxXm https://t.co/vwwDgFHq6A",FALSE,3240,NA,2016-10-25 18:01:23,FALSE,NA,"790976567249731584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",849,FALSE,FALSE,NA,NA
"82","Be proud of the progress we've made together—wear the mark of this movement. https://t.co/fYf2O9WAwG https://t.co/1Z4yJmYh4E",FALSE,4921,NA,2016-10-25 15:25:18,FALSE,NA,"790937285789306880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",1003,FALSE,FALSE,NA,NA
"83","Strong policies that help working families get ahead are good for our economy. https://t.co/QRRhibjZCl",FALSE,6910,NA,2016-10-24 21:32:47,FALSE,NA,"790667378023501825",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",1818,FALSE,FALSE,NA,NA
