"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"284","NOW WE'RE TALKING #rockchalk",FALSE,1019,NA,2016-03-27 02:17:59,FALSE,NA,"713912921953320964",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",333,FALSE,FALSE,NA,NA
"285","ROCKCHALK JAYHAWK.... Perry is the player of the year",FALSE,2800,NA,2016-03-25 03:57:43,FALSE,NA,"713213246149435392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",840,FALSE,FALSE,NA,NA
"286","DONT COUNT",FALSE,572,NA,2016-03-12 04:51:49,FALSE,NA,"708515820943613952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",215,FALSE,FALSE,NA,NA
"287","@WayneSeldenJr bro you ""gave him a facial"" huhÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç https://t.co/tFc8s2QB8h",FALSE,489,"WayneSeldenJr",2016-03-12 02:46:43,FALSE,NA,"708484336497074176","187036173","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",158,FALSE,FALSE,NA,NA
"288","STEPH CURYY IS LITERALLY INSANE",FALSE,3103,NA,2016-02-28 04:24:55,FALSE,NA,"703798008455028736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",2302,FALSE,FALSE,NA,NA
"289","WHAT A GAME!!! #OKCvGSW",FALSE,883,NA,2016-02-28 04:21:51,FALSE,NA,"703797237344817153",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",363,FALSE,FALSE,NA,NA
"290","Come on... Aaron Gordon deserves it",FALSE,2692,NA,2016-02-14 03:36:01,FALSE,NA,"698712269836984321",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",2375,FALSE,FALSE,NA,NA
"291","Oh man lets keep it going",FALSE,602,NA,2016-02-14 03:31:32,FALSE,NA,"698711142772973568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",369,FALSE,FALSE,NA,NA
"292","Ì†ΩÌ∏≥Ì†ΩÌ∏≥Ì†ΩÌ∏≥Ì†ΩÌ∏≥Ì†ΩÌ∏≥ AARON GORDON",FALSE,932,NA,2016-02-14 03:26:26,FALSE,NA,"698709857273298944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",794,FALSE,FALSE,NA,NA
"293","This video is Ì†ΩÌ¥•Ì†ΩÌ¥•Ì†ΩÌ¥•Ì†ΩÌ¥•Ì†ΩÌ¥•Ì†ΩÌ¥•  https://t.co/nBkU56BhbD @ekovideo @interludevideo",FALSE,61,NA,2016-02-08 22:02:32,FALSE,NA,"696816407594590208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",21,FALSE,FALSE,NA,NA
